date,max_temp,min_temp,avg_temp
2026-02-22,30.5,25.4,27.95
2026-02-23,28.8,25.9,27.35
2026-02-24,27.4,25.2,26.299999999999997
2026-02-25,27.4,24.9,26.15
2026-02-26,26.7,24.9,25.799999999999997
2026-02-27,26.6,25.3,25.950000000000003
2026-02-28,26.8,23.7,25.25
2026-03-01,26.7,24.0,25.35
